member_id,join_year,home_facility_id,age_group,membership_type,acquisition_channel,visits_first_90_days,visits_first_membership_year,program_registrations_first_year,active_years_observed,contribution_margin_observed,retained_after_first_period
M00709,2025,F02,65+,Youth annual,Referral,14,40,1,1,93,Censored
M00710,2024,F01,18-34,Senior annual,Walk-in,13,17,3,2,271.8,1
M00711,2022,F03,18-34,Adult annual,Paid social,2,2,3,2,475.2,1
M00712,2025,F01,65+,Family annual,Walk-in,8,15,2,1,327.6,Censored
M00713,2025,F02,18-34,Adult annual,Organic web,14,45,3,1,215.6,Censored
M00714,2024,F04,Under 18,Adult annual,Organic web,7,15,4,2,442.2,1
M00715,2025,F04,50-64,Adult annual,Paid social,10,21,1,1,237.6,Censored
M00716,2023,F03,35-49,Monthly flexible,Community event,0,2,0,3,559.65,1
M00717,2023,F04,18-34,Monthly flexible,Organic web,3,5,1,1,196.8,0
M00718,2023,F02,18-34,Family annual,Walk-in,10,21,0,3,943.8,1
M00719,2022,F01,50-64,Adult annual,Referral,10,41,3,4,950.4,1
M00720,2023,F03,35-49,Adult annual,Walk-in,8,10,2,3,712.8,1
M00721,2025,F02,Under 18,Family annual,Referral,11,17,3,1,308.1,Censored
M00722,2024,F04,50-64,Adult annual,Organic web,5,13,0,1,237.6,0
M00723,2022,F04,Under 18,Senior annual,Organic web,2,16,0,4,543.6,1
M00724,2022,F02,35-49,Adult annual,Organic web,6,19,2,2,442.2,1
M00725,2025,F04,50-64,Family annual,Organic web,11,28,3,1,327.6,Censored
M00726,2023,F01,50-64,Adult annual,Paid social,14,37,0,3,679.8,1
M00727,2022,F03,35-49,Monthly flexible,Referral,6,16,1,2,393.6,1
M00728,2024,F01,50-64,Monthly flexible,Referral,7,7,4,2,393.6,1
M00729,2023,F04,35-49,Monthly flexible,Organic web,0,2,4,3,590.4,1
M00730,2024,F03,Under 18,Adult annual,Organic web,5,7,1,1,237.6,0
M00731,2025,F01,35-49,Family annual,Referral,5,11,1,1,327.6,Censored
M00732,2023,F02,50-64,Senior annual,Organic web,12,25,1,3,421.2,1
M00733,2024,F04,Under 18,Family annual,Referral,12,27,3,2,625.95,1
M00734,2024,F01,Under 18,Adult annual,Email,13,31,3,2,442.2,1
M00735,2022,F01,18-34,Family annual,Email,9,17,1,4,1281.15,1
M00736,2023,F04,35-49,Adult annual,Walk-in,13,26,3,3,690.8,1
M00737,2024,F04,65+,Adult annual,Community event,11,11,1,2,442.2,1
M00738,2024,F02,35-49,Senior annual,Organic web,9,10,2,2,280.8,1
M00739,2025,F04,50-64,Adult annual,Organic web,7,11,0,1,237.6,Censored
M00740,2023,F03,35-49,Family annual,Referral,7,7,3,3,982.8,1
M00741,2025,F02,18-34,Adult annual,Walk-in,11,11,1,1,215.6,Censored
M00742,2023,F02,65+,Family annual,Email,11,42,0,3,982.8,1
M00743,2024,F03,35-49,Youth annual,Walk-in,17,22,3,2,186,1
M00744,2023,F04,35-49,Adult annual,Walk-in,7,18,4,2,475.2,1
M00745,2023,F02,18-34,Monthly flexible,Email,3,19,2,3,569.9,1
M00746,2024,F01,35-49,Adult annual,Organic web,7,17,0,2,442.2,1
M00747,2024,F03,18-34,Senior annual,Organic web,19,25,2,2,253.8,1
M00748,2022,F01,50-64,Adult annual,Paid social,9,14,3,3,712.8,1
M00749,2023,F02,35-49,Senior annual,Email,15,15,3,3,421.2,1
M00750,2024,F02,50-64,Monthly flexible,Paid social,6,7,1,1,186.55,0
M00751,2024,F04,18-34,Monthly flexible,Community event,8,15,1,2,393.6,1
M00752,2025,F02,65+,Family annual,Community event,12,35,3,1,327.6,Censored
M00753,2022,F03,50-64,Adult annual,Walk-in,3,4,1,4,939.4,1
M00754,2025,F02,50-64,Senior annual,Organic web,13,17,4,1,140.4,Censored
M00755,2022,F01,18-34,Family annual,Walk-in,14,42,6,4,1290.9,1
M00756,2022,F01,50-64,Youth annual,Organic web,18,29,6,4,356.5,1
M00757,2023,F03,18-34,Monthly flexible,Community event,3,5,2,1,196.8,0
M00758,2022,F02,18-34,Adult annual,Referral,9,25,3,4,917.4,1
M00759,2023,F03,Under 18,Adult annual,Referral,8,12,4,1,237.6,0
M00760,2024,F03,18-34,Adult annual,Email,7,20,3,2,464.2,1
M00761,2023,F01,18-34,Adult annual,Email,3,16,1,3,679.8,1
M00762,2023,F01,18-34,Youth annual,Community event,6,6,2,3,279,1
M00763,2025,F01,35-49,Family annual,Walk-in,18,46,3,1,327.6,Censored
M00764,2024,F04,35-49,Monthly flexible,Organic web,6,6,4,2,383.35,1
M00765,2023,F01,50-64,Family annual,Organic web,11,13,3,2,655.2,1
M00766,2022,F01,50-64,Youth annual,Paid social,6,10,3,4,372,1
M00767,2024,F02,50-64,Monthly flexible,Paid social,2,3,0,2,393.6,1
M00768,2022,F04,18-34,Adult annual,Organic web,9,31,5,4,895.4,1
M00769,2024,F04,65+,Adult annual,Paid social,8,23,0,2,431.2,1
M00770,2023,F01,35-49,Senior annual,Paid social,0,9,1,1,140.4,0
M00771,2025,F01,50-64,Family annual,Email,2,15,0,1,308.1,Censored
M00772,2022,F04,50-64,Family annual,Community event,7,21,1,2,655.2,1
M00773,2022,F01,35-49,Adult annual,Paid social,10,25,3,2,442.2,1
M00774,2025,F02,Under 18,Family annual,Organic web,13,28,4,1,317.85,Censored
M00775,2023,F03,18-34,Monthly flexible,Walk-in,7,7,1,3,590.4,1
M00776,2024,F01,50-64,Family annual,Email,13,50,1,2,655.2,1
M00777,2024,F01,18-34,Family annual,Paid social,19,28,1,2,645.45,1
M00778,2025,F04,50-64,Monthly flexible,Community event,8,9,3,1,196.8,Censored
M00779,2023,F01,35-49,Monthly flexible,Organic web,2,5,1,3,549.4,1
M00780,2025,F01,50-64,Family annual,Organic web,22,50,5,1,327.6,Censored
M00781,2022,F04,35-49,Adult annual,Paid social,9,25,0,4,950.4,1
M00782,2023,F01,35-49,Family annual,Walk-in,13,26,1,3,973.05,1
M00783,2022,F02,50-64,Adult annual,Walk-in,4,14,1,2,453.2,1
M00784,2023,F04,35-49,Family annual,Walk-in,17,17,2,3,973.05,1
M00785,2025,F01,35-49,Adult annual,Email,11,13,1,1,237.6,Censored
M00786,2024,F03,65+,Adult annual,Organic web,5,5,1,1,237.6,0
M00787,2023,F03,18-34,Family annual,Community event,6,6,2,3,953.55,1
M00788,2023,F03,18-34,Monthly flexible,Community event,5,5,4,1,186.55,0
M00789,2023,F04,35-49,Adult annual,Email,3,17,1,2,475.2,1
M00790,2023,F01,Under 18,Monthly flexible,Walk-in,3,12,3,2,383.35,1
M00791,2023,F01,50-64,Adult annual,Email,10,10,3,1,226.6,0
M00792,2025,F03,50-64,Adult annual,Referral,10,27,5,1,237.6,Censored
M00793,2022,F02,50-64,Monthly flexible,Email,4,7,3,4,787.2,1
M00794,2024,F03,50-64,Monthly flexible,Referral,0,5,3,2,332.1,1
M00795,2024,F02,35-49,Monthly flexible,Paid social,8,8,4,2,383.35,1
M00796,2023,F04,50-64,Family annual,Community event,12,12,3,2,635.7,1
M00797,2025,F01,50-64,Adult annual,Email,8,8,2,1,237.6,Censored
M00798,2023,F04,35-49,Adult annual,Organic web,3,6,2,3,690.8,1
M00799,2023,F04,18-34,Monthly flexible,Organic web,5,15,5,2,393.6,1
M00800,2024,F01,65+,Adult annual,Referral,10,23,4,2,464.2,1
M00801,2023,F04,50-64,Family annual,Walk-in,20,29,2,2,645.45,1
M00802,2023,F04,18-34,Senior annual,Referral,3,5,3,2,262.8,1
M00803,2025,F02,50-64,Monthly flexible,Organic web,2,2,2,1,196.8,Censored
M00804,2023,F01,18-34,Youth annual,Organic web,11,48,1,1,93,0
M00805,2025,F03,18-34,Monthly flexible,Email,2,2,1,1,196.8,Censored
M00806,2022,F02,Under 18,Monthly flexible,Organic web,2,2,2,4,705.2,1
M00807,2023,F01,35-49,Family annual,Organic web,7,31,0,3,982.8,1
M00808,2024,F04,18-34,Family annual,Walk-in,7,10,1,2,655.2,1
M00809,2025,F04,18-34,Adult annual,Referral,5,10,0,1,204.6,Censored
M00810,2023,F01,18-34,Monthly flexible,Organic web,3,3,3,1,196.8,0
M00811,2025,F04,35-49,Family annual,Referral,8,10,1,1,308.1,Censored
M00812,2025,F02,50-64,Monthly flexible,Paid social,4,13,3,1,196.8,Censored
M00813,2023,F04,35-49,Adult annual,Walk-in,5,26,5,3,712.8,1
M00814,2025,F02,35-49,Monthly flexible,Community event,6,12,1,1,166.05,Censored
M00815,2024,F04,18-34,Adult annual,Walk-in,9,19,2,1,204.6,0
M00816,2024,F03,65+,Monthly flexible,Walk-in,0,2,2,1,196.8,0
M00817,2024,F04,18-34,Youth annual,Paid social,11,40,2,2,186,1
M00818,2024,F04,50-64,Adult annual,Community event,5,5,1,2,475.2,1
M00819,2022,F04,18-34,Adult annual,Walk-in,5,7,2,4,917.4,1
M00820,2024,F04,35-49,Adult annual,Walk-in,10,11,0,1,237.6,0
M00821,2023,F01,50-64,Monthly flexible,Walk-in,8,21,2,2,373.1,1
M00822,2025,F03,35-49,Youth annual,Email,12,12,1,1,93,Censored
M00823,2025,F04,50-64,Adult annual,Referral,9,19,5,1,237.6,Censored
M00824,2022,F03,18-34,Adult annual,Walk-in,7,15,5,4,950.4,1
M00825,2024,F04,35-49,Adult annual,Organic web,5,5,0,2,475.2,1
M00826,2023,F03,65+,Monthly flexible,Community event,6,23,3,1,196.8,0
M00827,2025,F01,65+,Senior annual,Organic web,8,21,2,1,140.4,Censored
M00828,2023,F04,50-64,Adult annual,Organic web,4,12,1,3,701.8,1
M00829,2025,F03,35-49,Adult annual,Walk-in,7,11,1,1,237.6,Censored
M00830,2024,F04,18-34,Family annual,Referral,5,14,0,1,327.6,0
M00831,2024,F04,35-49,Adult annual,Organic web,5,8,2,1,237.6,0
M00832,2022,F02,50-64,Monthly flexible,Organic web,12,12,2,3,590.4,1
M00833,2024,F03,50-64,Youth annual,Referral,20,20,3,1,93,0
M00834,2024,F02,35-49,Monthly flexible,Organic web,11,27,2,2,393.6,1
M00835,2023,F01,50-64,Family annual,Paid social,15,48,5,3,934.05,1
M00836,2024,F02,18-34,Family annual,Referral,9,27,2,2,655.2,1
M00837,2025,F02,50-64,Adult annual,Walk-in,5,10,0,1,215.6,Censored
M00838,2024,F01,18-34,Adult annual,Walk-in,14,21,4,2,475.2,1
M00839,2023,F01,50-64,Adult annual,Paid social,3,3,2,1,226.6,0
M00840,2023,F02,Under 18,Monthly flexible,Referral,9,10,0,2,362.85,1
M00841,2022,F02,18-34,Family annual,Email,8,10,3,4,1300.65,1
M00842,2024,F04,35-49,Senior annual,Walk-in,5,5,4,2,244.8,1
M00843,2024,F04,50-64,Adult annual,Email,5,8,3,2,475.2,1
M00844,2022,F03,35-49,Senior annual,Community event,10,22,1,2,244.8,1
M00845,2024,F02,Under 18,Monthly flexible,Referral,5,22,3,2,393.6,1
M00846,2022,F01,Under 18,Family annual,Organic web,9,12,5,1,317.85,0
M00847,2025,F01,35-49,Monthly flexible,Walk-in,4,22,0,1,186.55,Censored
M00848,2022,F01,50-64,Adult annual,Referral,11,34,6,4,917.4,1
M00849,2022,F01,35-49,Family annual,Paid social,7,13,1,4,1261.65,1
M00850,2022,F03,18-34,Senior annual,Paid social,7,24,1,2,280.8,1
M00851,2025,F01,Under 18,Family annual,Community event,6,9,1,1,327.6,Censored
M00852,2025,F02,18-34,Family annual,Walk-in,13,15,6,1,327.6,Censored
M00853,2022,F01,50-64,Monthly flexible,Walk-in,3,12,1,4,756.45,1
M00854,2022,F01,35-49,Adult annual,Organic web,9,13,1,4,950.4,1
M00855,2025,F01,65+,Adult annual,Organic web,7,9,2,1,237.6,Censored
M00856,2022,F01,18-34,Adult annual,Community event,12,29,0,4,939.4,1
M00857,2025,F03,18-34,Adult annual,Community event,5,8,1,1,237.6,Censored
M00858,2024,F04,65+,Family annual,Referral,10,15,4,2,655.2,1
M00859,2023,F04,18-34,Adult annual,Walk-in,22,23,1,3,635.8,1
M00860,2024,F01,50-64,Senior annual,Referral,12,12,5,2,280.8,1
M00861,2024,F03,Under 18,Adult annual,Walk-in,4,23,1,1,237.6,0
M00862,2025,F02,18-34,Family annual,Referral,17,56,3,1,327.6,Censored
M00863,2024,F01,35-49,Family annual,Referral,17,39,2,2,625.95,1
M00864,2022,F01,18-34,Family annual,Referral,11,11,3,3,982.8,1
M00865,2024,F01,18-34,Monthly flexible,Paid social,3,7,0,1,196.8,0
M00866,2024,F02,50-64,Monthly flexible,Organic web,8,8,1,2,373.1,1
M00867,2024,F01,35-49,Youth annual,Email,12,38,2,1,93,0
M00868,2024,F04,18-34,Monthly flexible,Paid social,6,16,4,2,383.35,1
M00869,2023,F02,18-34,Adult annual,Email,6,24,6,3,701.8,1
M00870,2023,F03,65+,Youth annual,Walk-in,3,4,1,2,186,1
M00871,2023,F04,35-49,Adult annual,Community event,7,7,1,3,679.8,1
M00872,2023,F04,18-34,Monthly flexible,Community event,4,8,3,1,196.8,0
M00873,2023,F02,18-34,Youth annual,Email,3,5,0,2,162.75,1
M00874,2024,F02,35-49,Monthly flexible,Email,4,11,1,1,196.8,0
M00875,2025,F01,18-34,Adult annual,Referral,6,8,2,1,237.6,Censored
M00876,2023,F03,35-49,Monthly flexible,Paid social,5,6,4,2,393.6,1
M00877,2024,F01,35-49,Senior annual,Referral,13,32,3,2,280.8,1
M00878,2024,F04,35-49,Family annual,Paid social,5,19,5,1,327.6,0
M00879,2023,F02,35-49,Monthly flexible,Paid social,2,2,7,1,176.3,0
M00880,2024,F04,50-64,Adult annual,Walk-in,6,6,3,2,475.2,1
M00881,2024,F03,35-49,Adult annual,Email,8,23,3,2,464.2,1
M00882,2022,F02,35-49,Monthly flexible,Walk-in,0,0,0,1,176.3,0
M00883,2024,F01,35-49,Senior annual,Referral,9,24,4,1,140.4,0
M00884,2024,F02,50-64,Family annual,Community event,14,32,2,2,655.2,1
M00885,2023,F01,18-34,Adult annual,Referral,5,15,0,3,701.8,1
M00886,2024,F04,18-34,Youth annual,Organic web,2,6,1,2,186,1
M00887,2023,F02,50-64,Adult annual,Organic web,10,11,2,1,204.6,0
M00888,2025,F02,18-34,Youth annual,Walk-in,3,3,0,1,93,Censored
M00889,2022,F03,35-49,Youth annual,Organic web,12,39,4,3,271.25,1
M00890,2022,F02,18-34,Family annual,Paid social,11,24,1,4,1281.15,1
M00891,2024,F01,50-64,Senior annual,Walk-in,6,15,1,2,280.8,1
M00892,2024,F01,35-49,Family annual,Referral,10,32,4,2,655.2,1
M00893,2025,F02,35-49,Adult annual,Paid social,4,13,4,1,237.6,Censored
M00894,2023,F01,65+,Family annual,Referral,25,59,2,3,963.3,1
M00895,2025,F04,35-49,Family annual,Walk-in,9,9,3,1,327.6,Censored
M00896,2025,F04,Under 18,Family annual,Organic web,5,9,1,1,308.1,Censored
M00897,2024,F03,65+,Senior annual,Organic web,4,4,2,1,122.4,0
M00898,2023,F02,35-49,Adult annual,Paid social,9,15,2,1,237.6,0
M00899,2023,F03,18-34,Adult annual,Email,11,17,2,1,237.6,0
M00900,2022,F01,35-49,Senior annual,Referral,19,20,3,1,131.4,0
M00901,2023,F02,35-49,Monthly flexible,Referral,1,4,1,1,166.05,0
M00902,2025,F03,Under 18,Family annual,Community event,15,40,0,1,308.1,Censored
M00903,2024,F02,35-49,Family annual,Community event,14,18,2,2,625.95,1
M00904,2024,F01,50-64,Monthly flexible,Organic web,6,10,1,2,393.6,1
M00905,2024,F01,50-64,Youth annual,Referral,7,29,1,1,93,0
M00906,2023,F03,65+,Family annual,Referral,9,23,0,1,327.6,0
M00907,2022,F01,50-64,Adult annual,Paid social,11,16,2,2,475.2,1
M00908,2024,F03,18-34,Adult annual,Community event,4,15,2,1,237.6,0
M00909,2023,F04,Under 18,Monthly flexible,Email,5,14,1,3,569.9,1
M00910,2023,F02,35-49,Monthly flexible,Referral,3,3,0,3,590.4,1
M00911,2024,F01,35-49,Adult annual,Email,10,24,1,2,442.2,1
M00912,2022,F04,18-34,Adult annual,Walk-in,8,23,3,4,950.4,1
M00913,2024,F01,50-64,Senior annual,Paid social,7,24,4,1,140.4,0
M00914,2024,F01,18-34,Adult annual,Paid social,2,7,1,1,226.6,0
M00915,2023,F04,18-34,Adult annual,Referral,11,33,1,1,204.6,0
M00916,2024,F02,35-49,Monthly flexible,Referral,6,6,1,2,342.35,1
M00917,2024,F02,50-64,Monthly flexible,Referral,7,10,0,2,393.6,1
M00918,2025,F01,50-64,Senior annual,Referral,3,10,1,1,140.4,Censored
M00919,2025,F01,18-34,Monthly flexible,Email,6,8,1,1,196.8,Censored
M00920,2023,F04,18-34,Senior annual,Organic web,10,12,3,1,140.4,0
M00921,2022,F02,Under 18,Monthly flexible,Walk-in,0,2,1,1,196.8,0
M00922,2022,F02,18-34,Adult annual,Organic web,4,9,2,2,442.2,1
M00923,2024,F03,65+,Family annual,Email,1,1,1,2,655.2,1
M00924,2024,F02,18-34,Adult annual,Community event,15,19,3,1,237.6,0
M00925,2023,F02,35-49,Senior annual,Organic web,5,10,1,3,412.2,1
M00926,2022,F03,18-34,Youth annual,Community event,11,18,1,4,317.75,1
M00927,2023,F01,35-49,Monthly flexible,Referral,2,2,3,2,393.6,1
M00928,2023,F04,50-64,Monthly flexible,Walk-in,2,3,0,1,196.8,0
M00929,2022,F02,18-34,Family annual,Email,13,49,3,4,1281.15,1
M00930,2025,F04,18-34,Adult annual,Walk-in,14,43,5,1,237.6,Censored
M00931,2022,F04,35-49,Youth annual,Referral,12,12,5,2,186,1
M00932,2024,F01,50-64,Senior annual,Community event,2,4,1,2,280.8,1
M00933,2024,F04,35-49,Monthly flexible,Walk-in,5,5,1,2,393.6,1
M00934,2023,F03,18-34,Adult annual,Organic web,3,3,1,2,420.2,1
M00935,2024,F04,18-34,Senior annual,Paid social,5,13,1,2,280.8,1
M00936,2022,F01,35-49,Family annual,Walk-in,11,29,3,4,1261.65,1
M00937,2023,F01,35-49,Family annual,Referral,21,54,2,3,953.55,1
M00938,2023,F03,35-49,Senior annual,Walk-in,5,10,0,3,403.2,1
M00939,2024,F01,65+,Monthly flexible,Referral,3,9,2,2,393.6,1
M00940,2022,F02,35-49,Adult annual,Community event,12,33,1,4,906.4,1
M00941,2022,F04,18-34,Family annual,Walk-in,16,16,5,4,1310.4,1
M00942,2022,F04,Under 18,Monthly flexible,Referral,1,3,5,1,196.8,0
M00943,2025,F04,35-49,Senior annual,Referral,7,12,1,1,140.4,Censored
M00944,2024,F01,35-49,Senior annual,Paid social,3,4,3,2,280.8,1
M00945,2023,F04,50-64,Adult annual,Walk-in,10,30,3,3,712.8,1
M00946,2022,F02,35-49,Youth annual,Organic web,12,35,3,1,93,0
M00947,2025,F02,18-34,Youth annual,Walk-in,12,12,4,1,93,Censored
M00948,2024,F04,50-64,Family annual,Walk-in,4,15,1,2,655.2,1
M00949,2025,F01,35-49,Monthly flexible,Walk-in,2,2,2,1,196.8,Censored
M00950,2022,F04,65+,Adult annual,Walk-in,20,24,3,1,237.6,0
M00951,2024,F04,18-34,Senior annual,Referral,3,5,4,2,262.8,1
M00952,2023,F01,35-49,Adult annual,Email,11,25,2,2,475.2,1
M00953,2023,F03,35-49,Adult annual,Paid social,3,3,1,1,204.6,0
M00954,2023,F04,50-64,Family annual,Referral,13,26,3,2,655.2,1
M00955,2024,F01,35-49,Adult annual,Paid social,4,6,1,2,475.2,1
M00956,2024,F03,18-34,Senior annual,Referral,3,11,0,2,262.8,1
M00957,2025,F04,18-34,Adult annual,Organic web,5,5,1,1,226.6,Censored
M00958,2024,F04,18-34,Family annual,Community event,9,14,0,2,606.45,1
M00959,2023,F01,65+,Monthly flexible,Organic web,3,5,1,1,196.8,0
M00960,2023,F03,18-34,Monthly flexible,Community event,4,11,1,3,559.65,1
M00961,2023,F01,18-34,Youth annual,Paid social,16,17,1,3,255.75,1
M00962,2025,F02,50-64,Adult annual,Paid social,11,21,1,1,215.6,Censored
M00963,2023,F02,Under 18,Adult annual,Email,5,19,1,2,475.2,1
M00964,2022,F01,Under 18,Family annual,Organic web,10,22,2,4,1261.65,1
M00965,2022,F04,35-49,Adult annual,Email,17,36,1,2,475.2,1
M00966,2023,F01,35-49,Family annual,Email,4,4,6,3,973.05,1
M00967,2023,F01,35-49,Monthly flexible,Walk-in,1,4,1,1,196.8,0
M00968,2025,F04,18-34,Monthly flexible,Paid social,7,7,3,1,196.8,Censored
M00969,2023,F03,Under 18,Adult annual,Referral,10,28,0,3,690.8,1
M00970,2022,F03,50-64,Family annual,Email,10,18,2,4,1300.65,1
M00971,2023,F02,35-49,Senior annual,Community event,6,12,3,1,140.4,0
M00972,2024,F02,50-64,Adult annual,Walk-in,5,5,3,1,237.6,0
M00973,2022,F02,18-34,Adult annual,Walk-in,11,28,1,1,237.6,0
M00974,2024,F01,65+,Adult annual,Email,10,21,1,2,475.2,1
M00975,2025,F03,18-34,Adult annual,Email,3,8,2,1,237.6,Censored
M00976,2024,F02,35-49,Youth annual,Community event,13,19,0,2,170.5,1
M00977,2022,F02,18-34,Adult annual,Paid social,10,29,7,3,701.8,1
M00978,2024,F02,18-34,Adult annual,Referral,12,34,3,2,475.2,1
M00979,2023,F04,50-64,Family annual,Referral,13,14,1,1,308.1,0
M00980,2022,F01,18-34,Monthly flexible,Organic web,10,21,1,1,166.05,0
M00981,2023,F02,35-49,Family annual,Referral,17,19,1,1,317.85,0
M00982,2022,F01,Under 18,Adult annual,Walk-in,3,3,2,1,204.6,0
M00983,2024,F01,50-64,Adult annual,Organic web,16,16,2,1,204.6,0
M00984,2024,F04,35-49,Adult annual,Organic web,11,14,3,2,442.2,1
M00985,2022,F03,65+,Monthly flexible,Organic web,3,12,1,4,746.2,1
M00986,2022,F01,Under 18,Youth annual,Organic web,19,40,4,3,263.5,1
M00987,2023,F01,18-34,Adult annual,Paid social,10,25,2,2,464.2,1
M00988,2025,F04,35-49,Senior annual,Community event,5,14,2,1,122.4,Censored
M00989,2022,F02,18-34,Adult annual,Walk-in,8,16,5,4,928.4,1
M00990,2024,F01,18-34,Adult annual,Community event,5,5,1,2,453.2,1
M00991,2022,F01,65+,Monthly flexible,Referral,4,4,3,4,787.2,1
M00992,2022,F01,35-49,Monthly flexible,Email,4,6,0,4,776.95,1
M00993,2023,F01,50-64,Monthly flexible,Referral,5,7,2,2,393.6,1
M00994,2024,F01,65+,Youth annual,Referral,6,12,0,2,178.25,1
M00995,2024,F03,65+,Senior annual,Organic web,6,20,1,2,271.8,1
M00996,2024,F02,Under 18,Family annual,Referral,18,33,0,2,616.2,1
M00997,2024,F04,50-64,Monthly flexible,Referral,2,4,0,2,393.6,1
M00998,2022,F04,18-34,Monthly flexible,Referral,7,14,1,4,746.2,1
M00999,2023,F04,18-34,Adult annual,Organic web,3,3,0,3,679.8,1
M01000,2024,F01,18-34,Adult annual,Referral,19,51,3,1,237.6,0
M01001,2022,F02,35-49,Youth annual,Referral,2,4,2,2,170.5,1
M01002,2024,F02,18-34,Adult annual,Community event,16,41,1,2,475.2,1
M01003,2023,F01,65+,Senior annual,Paid social,10,10,3,3,394.2,1
M01004,2022,F02,18-34,Monthly flexible,Paid social,7,23,1,3,549.4,1
M01005,2024,F02,18-34,Monthly flexible,Paid social,6,7,1,1,196.8,0
M01006,2025,F03,35-49,Adult annual,Walk-in,16,18,2,1,204.6,Censored
M01007,2025,F04,65+,Youth annual,Referral,10,32,2,1,85.25,Censored
M01008,2023,F04,65+,Family annual,Organic web,14,43,2,3,973.05,1
M01009,2023,F01,35-49,Family annual,Organic web,25,32,2,3,943.8,1
M01010,2024,F02,18-34,Senior annual,Organic web,8,15,2,2,280.8,1
M01011,2024,F02,50-64,Adult annual,Organic web,3,3,0,1,237.6,0
M01012,2025,F04,Under 18,Senior annual,Walk-in,6,13,2,1,140.4,Censored
M01013,2025,F04,50-64,Monthly flexible,Walk-in,2,2,2,1,196.8,Censored
M01014,2024,F03,50-64,Senior annual,Walk-in,4,27,1,2,235.8,1
M01015,2023,F02,50-64,Family annual,Community event,14,38,1,3,953.55,1
M01016,2022,F01,35-49,Youth annual,Referral,12,50,1,2,186,1
M01017,2024,F02,35-49,Family annual,Walk-in,13,13,2,2,655.2,1
M01018,2025,F02,18-34,Adult annual,Referral,11,21,1,1,237.6,Censored
M01019,2022,F02,50-64,Adult annual,Referral,7,18,2,4,950.4,1
M01020,2025,F03,50-64,Family annual,Walk-in,11,35,2,1,327.6,Censored
M01021,2024,F01,65+,Adult annual,Walk-in,16,16,3,2,475.2,1
M01022,2024,F04,35-49,Adult annual,Community event,10,16,3,2,453.2,1
M01023,2023,F01,35-49,Monthly flexible,Organic web,5,5,4,3,539.15,1
M01024,2022,F03,35-49,Youth annual,Referral,5,5,2,3,279,1
M01025,2024,F01,50-64,Family annual,Email,4,17,2,2,606.45,1
M01026,2022,F02,18-34,Adult annual,Paid social,7,7,2,4,939.4,1
M01027,2024,F02,18-34,Adult annual,Referral,15,44,1,2,453.2,1
M01028,2023,F01,50-64,Adult annual,Walk-in,5,5,2,1,226.6,0
M01029,2025,F04,35-49,Family annual,Paid social,17,54,1,1,317.85,Censored
M01030,2022,F04,50-64,Monthly flexible,Community event,1,9,3,1,196.8,0
M01031,2024,F02,18-34,Adult annual,Organic web,8,23,3,2,475.2,1
M01032,2022,F01,50-64,Adult annual,Walk-in,11,18,4,1,237.6,0
M01033,2023,F02,18-34,Adult annual,Community event,5,15,1,3,701.8,1
M01034,2025,F01,18-34,Family annual,Community event,9,16,3,1,327.6,Censored
M01035,2023,F03,18-34,Senior annual,Community event,8,17,5,3,412.2,1
M01036,2025,F04,18-34,Family annual,Walk-in,19,19,3,1,327.6,Censored
M01037,2025,F04,35-49,Monthly flexible,Email,1,1,2,1,196.8,Censored
M01038,2022,F01,35-49,Adult annual,Referral,5,12,4,1,204.6,0
M01039,2024,F01,18-34,Adult annual,Walk-in,3,10,2,2,442.2,1
M01040,2025,F01,50-64,Family annual,Community event,16,27,3,1,317.85,Censored
M01041,2022,F01,35-49,Monthly flexible,Walk-in,2,4,0,1,196.8,0
M01042,2023,F01,65+,Monthly flexible,Community event,9,9,2,2,393.6,1
M01043,2024,F01,35-49,Family annual,Walk-in,13,23,3,2,655.2,1
M01044,2024,F01,65+,Adult annual,Referral,9,9,1,2,475.2,1
M01045,2024,F01,35-49,Family annual,Organic web,5,8,2,2,655.2,1
M01046,2023,F02,18-34,Family annual,Paid social,13,46,3,2,655.2,1
M01047,2024,F01,Under 18,Family annual,Walk-in,15,15,2,2,655.2,1
M01048,2023,F02,18-34,Monthly flexible,Email,14,17,0,3,580.15,1
M01049,2022,F04,50-64,Family annual,Paid social,6,6,1,4,1310.4,1
M01050,2023,F04,50-64,Family annual,Walk-in,6,18,0,3,943.8,1
M01051,2023,F03,65+,Monthly flexible,Community event,4,4,1,1,196.8,0
M01052,2023,F02,Under 18,Youth annual,Referral,7,18,2,1,93,0
M01053,2022,F03,65+,Family annual,Referral,8,14,1,4,1310.4,1
M01054,2025,F01,65+,Monthly flexible,Walk-in,2,2,4,1,196.8,Censored
M01055,2024,F04,65+,Monthly flexible,Community event,2,7,2,2,383.35,1
M01056,2023,F03,65+,Monthly flexible,Paid social,3,15,2,1,186.55,0
M01057,2024,F03,18-34,Family annual,Referral,12,38,2,2,655.2,1
M01058,2024,F01,Under 18,Senior annual,Referral,4,11,1,2,271.8,1
M01059,2022,F03,18-34,Monthly flexible,Paid social,7,25,3,1,186.55,0
M01060,2023,F03,35-49,Adult annual,Walk-in,6,9,4,3,657.8,1
M01061,2025,F02,18-34,Monthly flexible,Referral,3,3,0,1,196.8,Censored
M01062,2024,F01,65+,Adult annual,Referral,9,32,6,2,475.2,1
M01063,2022,F04,Under 18,Senior annual,Organic web,11,22,3,4,543.6,1
